pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,826.5823735396114
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,831.4034608659987
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,837.2914454020379
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,834.6961448466111
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,829.6284671502398
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,828.620930299255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,826.0076070827622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,826.626787845197
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,831.5642977189519
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,835.4752998930213
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,832.9234889074535
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,828.3347221950473
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,827.7077826240701
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,825.7534917114538
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,827.1706797090092
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,832.1833449263738
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,838.4867102510257
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,835.5432543704125
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,830.4704397853925
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,829.3946543635616
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,827.2485598790022
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,827.9436900283204
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,832.6592457561163
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,838.9662114609323
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,835.8231113144794
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,830.7485996715016
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,829.6380454090715
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,827.6382333566153
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,825.8295392002567
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,826.4864599968664
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,832.0656730613066
